sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0021004-T01-IM6	0.33	-0.2978	-0.1444	0.005	-0.055	0.0622	-0.0976	0.1331	-0.0999	0.1621	0.2145	-0.2944	0.2097	0.2563	-0.301	-0.028	0.0859	0.114	0.0214	-0.1032	0.308	-0.1554	0.027	0.1146	-0.2569	-0.1066	0.1418	-0.342	-0.2654	0.1417	-0.2798	0.0365	-0.2099	0.2657	0.0148	-0.1298	0.1407	-0.4842	-0.4587	-0.4157	-0.0422
GENIE-MSK-P-0021255-T01-IM6	0.1031	-0.022	-0.1235	-0.1157	0.1558	-0.0733	-0.0264	-0.1891	-0.0719	-0.198	-0.0633	0.1976	-0.0043	-0.2904	-0.2123	0.1526	-0.1433	0.0471	0.0191	-0.0581	-0.08	0.2193	-0.1991	0.3596	-0.0142	0.2215	0.1931	-0.3232	-0.0892	0.4199	-0.1857	-0.2875	-0.4462	0.3019	0.2136	-0.3725	-0.0246	-0.7412	-0.2357	0.1259	0.1324
GENIE-MSK-P-0021266-T01-IM6	0.0265	-0.0855	-0.2565	-0.0508	-0.4216	-0.4444	-0.0911	0.0093	-0.324	-0.4678	-0.4678	-0.4691	0.1148	0.1755	0.1755	-0.1176	0.1348	0.0342	0.578	0.2098	0.2098	0.222	-0.1224	0.1495	0.151	-0.0289	0.0341	0.0356	-0.2477	0.7252	-0.0899	0.1001	-0.3943	0.2558	0.2558	-0.0373	-0.0043	0.0158	0.0158	-0.1182	0.0802
GENIE-MSK-P-0021304-T01-IM6	-0.5513	-0.0065	-0.0556	-0.0556	-0.0602	-0.0602	-0.0386	-0.0416	-0.0228	0.0217	0.0217	-0.0484	-0.0332	-0.0793	-0.0793	0.107	0.107	-0.0427	0.0014	0.4199	0.4199	0.0699	0.0153	-0.071	-0.071	-0.0613	-0.0613	-0.0349	-0.0349	-0.0395	-0.0395	-0.071	-0.0354	0.3103	0.3021	0.2304	0.2304	-0.0075	-0.0075	-0.096	-0.0775
GENIE-MSK-P-0021403-T01-IM6	0.1455	-0.3602	-0.0162	0.0141	0.0618	0.0754	-0.1954	0.0983	-0.1668	-0.3892	0.1847	-0.4368	0.0825	-0.3085	-0.7675	-0.206	0.0969	0.0793	0.0802	0.3661	0.3661	-0.0314	-0.3454	0.0871	0.2213	0.1012	0.0303	0.5356	0.1094	-0.0871	0.0662	-0.05	-0.3947	0.2143	-0.0401	-0.0584	0.1691	-0.3984	-0.3984	-0.3757	-0.4626
GENIE-MSK-P-0021454-T01-IM6	0.2051	-0.0714	0.105	0.0433	0.1984	-0.163	0.231	-0.1247	0.0428	-0.1343	-0.1343	-0.0674	0.0208	0.062	0.022	-0.1424	0.173	-0.1448	0.2066	0.0779	0.0779	0.043	-0.0911	-0.0032	0.0101	-0.1502	-0.1575	0.0179	0.0359	0.2067	-0.032	0.0988	-0.0038	0.1895	-0.1249	-0.0949	0.2153	-0.1341	-0.1131	-0.4093	-0.2956
GENIE-MSK-P-0021471-T01-IM6	0.2252	-0.0339	-0.1617	-0.1582	0.0487	-0.0419	-0.1586	0.0986	-0.1831	-0.0893	0.1785	-0.1092	-0.1095	0.0856	-0.2439	0.032	0.1251	-0.0227	-0.0508	-0.047	0.1906	-0.1148	0.0577	0.0165	-0.0113	-0.113	0.1843	0.226	0.0156	0.4148	-0.1843	-0.114	-0.0226	0.0676	-0.1448	-0.2497	0.2586	-0.2573	0.0577	-0.2353	-0.1996
GENIE-MSK-P-0021474-T01-IM6	0.0159	-0.0145	0.0188	-0.1963	0.2849	0.2887	-0.0682	-0.259	-0.2488	0.3697	-0.2726	-0.078	-0.0806	0.0928	0.0928	0.1735	0.1788	-0.0676	-0.0547	0.1824	0.1909	0.1388	0.1449	0.1177	0.1177	-0.2078	-0.0168	0.1224	0.1224	0.1843	-0.2811	-0.1614	-0.201	0.2853	0.3154	0.2842	0.1718	0.164	-0.0371	0.0575	0.0575
GENIE-MSK-P-0021484-T01-IM6	0.137	0.002	0.0688	0.0035	-0.0775	-0.0469	0.2032	0.1061	-0.2628	-0.1207	0.3394	-0.1632	-0.0615	0.1751	0.1751	-7e-04	0.0176	0.1427	0.0663	0.2073	0.1437	-0.0143	-0.0958	-0.007	-0.1975	-0.3197	0.1237	0.1708	-0.1074	-0.2418	-0.2418	0.0916	-0.1131	0.219	0.1582	0.0163	0.2195	-0.1328	0.0278	0.0516	0.0516
GENIE-MSK-P-0021503-T01-IM6	0.16	-0.1656	0.1957	0.0085	-0.0322	-0.0906	-0.0116	0.0661	-0.3584	0.118	0.0376	-0.1039	-0.21	0.5575	-0.3034	0.0843	0.4291	0.1349	0.1609	-0.0028	-0.0028	0.0827	-0.0508	0.2936	0.0256	-0.0746	0.2975	-0.2289	-0.2289	0.1247	-0.3897	-0.3857	-0.093	0.4303	-0.0102	-0.5407	0.0709	-0.1684	-0.0305	-0.2089	-0.1331
